,faceBottom_1_steps,faceBottom_1_steps_0,faceBottom_1_steps_1,faceBottom_1_steps_2,faceBottom_6_steps,faceBottom_6_steps_0,faceBottom_6_steps_1,faceBottom_6_steps_2,faceLeft_1_steps,faceLeft_1_steps_0,faceLeft_1_steps_1,faceLeft_1_steps_2,faceLeft_6_steps,faceLeft_6_steps_0,faceLeft_6_steps_1,faceLeft_6_steps_2,faceRight_1_steps,faceRight_1_steps_0,faceRight_1_steps_1,faceRight_1_steps_2,faceRight_6_steps,faceRight_6_steps_0,faceRight_6_steps_1,faceRight_6_steps_2,faceTop_1_steps,faceTop_1_steps_0,faceTop_1_steps_1,faceTop_1_steps_2,faceTop_6_steps,faceTop_6_steps_0,faceTop_6_steps_1,faceTop_6_steps_2,frameIndex,isFrontFace_1_steps,isFrontFace_1_steps_0,isFrontFace_1_steps_1,isFrontFace_1_steps_2,isFrontFace_6_steps,isFrontFace_6_steps_0,isFrontFace_6_steps_1,isFrontFace_6_steps_2,noseX_1_steps,noseX_1_steps_0,noseX_1_steps_1,noseX_1_steps_2,noseX_6_steps,noseX_6_steps_0,noseX_6_steps_1,noseX_6_steps_2,noseY_1_steps,noseY_1_steps_0,noseY_1_steps_1,noseY_1_steps_2,noseY_6_steps,noseY_6_steps_0,noseY_6_steps_1,noseY_6_steps_2,time
82,1.0,1.0,-199.0,0.0,1.0,1.0,-199.0,-199.0,3.0,3.0,-101.0,0.0,3.0,3.0,-97.0,-97.0,2.0,2.0,-226.0,0.0,3.0,3.0,-224.0,-225.0,2.0,2.0,-74.0,0.0,1.0,1.0,-72.0,-71.0,91.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.3189697265625,1.3189697265625,7.9273223876953125,11.383956909179688,2.178619384765625,2.178619384765625,10.001510620117188,21.294448852539062,-0.198211669921875,-0.198211669921875,-0.325958251953125,-0.0380706787109375,-0.464141845703125,-0.464141845703125,-0.6327056884765625,-0.64715576171875,1453773928.583064
83,-199.0,-199.0,0.0,0.0,-199.0,-199.0,-199.0,-197.0,-101.0,-101.0,0.0,0.0,-97.0,-97.0,-97.0,-99.0,-226.0,-226.0,0.0,0.0,-224.0,-224.0,-225.0,-226.0,-74.0,-74.0,0.0,0.0,-72.0,-72.0,-71.0,-70.0,92.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,7.9273223876953125,7.9273223876953125,11.383956909179688,12.778900146484403,10.001510620117188,10.001510620117188,21.294448852539062,33.94033813476565,-0.325958251953125,-0.325958251953125,-0.0380706787109375,1.1432952880859375,-0.6327056884765625,-0.6327056884765625,-0.64715576171875,0.5009002685546875,1453773928.6602721
84,0.0,0.0,0.0,0.0,-199.0,-199.0,-197.0,-197.0,0.0,0.0,0.0,0.0,-97.0,-97.0,-99.0,-98.0,0.0,0.0,0.0,0.0,-225.0,-225.0,-226.0,-226.0,0.0,0.0,0.0,0.0,-71.0,-71.0,-70.0,-69.0,93.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,11.383956909179688,11.383956909179688,12.778900146484403,13.364852905273409,21.294448852539062,21.294448852539062,33.94033813476565,47.08445739746094,-0.0380706787109375,-0.0380706787109375,1.1432952880859375,1.947906494140625,-0.64715576171875,-0.64715576171875,0.5009002685546875,2.402496337890625,1453773928.730971
85,0.0,0.0,0.0,0.0,-197.0,-197.0,-197.0,-198.0,0.0,0.0,0.0,0.0,-99.0,-99.0,-98.0,-98.0,0.0,0.0,0.0,0.0,-226.0,-226.0,-226.0,-224.0,0.0,0.0,0.0,0.0,-70.0,-70.0,-69.0,-72.0,94.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,12.778900146484403,12.778900146484403,13.364852905273409,8.9339599609375,33.94033813476565,33.94033813476565,47.08445739746094,55.70796203613281,1.1432952880859375,1.1432952880859375,1.947906494140625,-3.8635406494140625,0.5009002685546875,0.5009002685546875,2.402496337890625,-1.3345794677734375,1453773928.794451
86,0.0,0.0,0.0,0.0,-197.0,-197.0,-198.0,-199.0,0.0,0.0,0.0,0.0,-98.0,-98.0,-98.0,-101.0,0.0,0.0,0.0,0.0,-226.0,-226.0,-224.0,-226.0,0.0,0.0,0.0,0.0,-69.0,-69.0,-72.0,-74.0,95.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,13.364852905273409,13.364852905273409,8.9339599609375,6.448257446289091,47.08445739746094,47.08445739746094,55.70796203613281,60.8372497558594,1.947906494140625,1.947906494140625,-3.8635406494140625,3.830078125,2.402496337890625,2.402496337890625,-1.3345794677734375,2.6937103271484375,1453773928.862129
87,0.0,0.0,0.0,0.0,-198.0,-198.0,-199.0,0.0,0.0,0.0,0.0,0.0,-98.0,-98.0,-101.0,0.0,0.0,0.0,0.0,0.0,-224.0,-224.0,-226.0,0.0,0.0,0.0,0.0,0.0,-72.0,-72.0,-74.0,0.0,96.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,8.9339599609375,8.9339599609375,6.448257446289091,5.625900268554659,55.70796203613281,55.70796203613281,60.8372497558594,58.53582763671875,-3.8635406494140625,-3.8635406494140625,3.830078125,5.9324798583984375,-1.3345794677734375,-1.3345794677734375,2.6937103271484375,8.9521484375,1453773928.928217
88,0.0,0.0,0.0,0.0,-199.0,-199.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.0,-101.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.0,-226.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-74.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,6.448257446289091,6.448257446289091,5.625900268554659,2.7707672119140625,60.8372497558594,60.8372497558594,58.53582763671875,49.922637939453125,3.830078125,3.830078125,5.9324798583984375,2.6007537841796875,2.6937103271484375,2.6937103271484375,8.9521484375,11.590972900390625,1453773928.996838
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625900268554659,5.625900268554659,2.7707672119140625,1.084075927734375,58.53582763671875,58.53582763671875,49.922637939453125,38.2278137207031,5.9324798583984375,5.9324798583984375,2.6007537841796875,0.8426361083984375,8.9521484375,8.9521484375,11.590972900390625,11.290313720703125,1453773929.0640311
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7707672119140625,2.7707672119140625,1.084075927734375,0.06991577148440342,49.922637939453125,49.922637939453125,38.2278137207031,24.93287658691409,2.6007537841796875,2.6007537841796875,0.8426361083984375,0.0279693603515625,11.590972900390625,11.590972900390625,11.290313720703125,9.370376586914062,1453773929.131002
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.084075927734375,1.084075927734375,0.06991577148440342,-0.15786743164068184,38.2278137207031,38.2278137207031,24.93287658691409,15.841049194335909,0.8426361083984375,0.8426361083984375,0.0279693603515625,-0.43109130859375,11.290313720703125,11.290313720703125,9.370376586914062,12.802825927734375,1453773929.1929991
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06991577148440342,0.06991577148440342,-0.15786743164068184,-0.03683471679681816,24.93287658691409,24.93287658691409,15.841049194335909,9.35595703125,0.0279693603515625,0.0279693603515625,-0.43109130859375,0.0802459716796875,9.370376586914062,9.370376586914062,12.802825927734375,9.052993774414062,1453773929.2599142
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15786743164068184,-0.15786743164068184,-0.03683471679681816,-0.0037536621094034217,15.841049194335909,15.841049194335909,9.35595703125,3.7263031005859375,-0.43109130859375,-0.43109130859375,0.0802459716796875,0.090057373046875,12.802825927734375,12.802825927734375,9.052993774414062,3.2105712890625,1453773929.3264449
