x,y,z,time_diff
-0.017,6.974,7.913,23
-0.352,5.726,6.658,16
-1.312,5.457,6.156,23
0.132,6.264,8.663,16
0.089,6.864,8.001,24
-0.517,5.367,6.301,15
-1.076,5.315,7.798,24
-0.307,6.176,9.162,15
-0.345,6.183,6.873,24
-1.066,5.288,6.066,15
-0.769,5.736,7.696,24
-0.766,6.579,7.691,15
-1.121,5.664,6.085,24
-0.776,5.296,7.668,15
-0.01,6.74,9.174,24
-0.543,6.155,7.522,23
-0.731,5.81,6.911,16
-0.44,5.905,7.66,23
-0.362,6.076,6.061,16
-1.069,5.553,6.575,23
-0.657,4.988,8.182,16
-0.298,6.081,7.994,23
-1.178,5.495,6.787,16
-0.669,4.998,6.142,24
0.175,6.11,8.46,15
0.278,6.11,8.41,24
-0.276,5.169,6.889,15
-0.812,4.798,7.898,24
-0.312,5.279,8.991,15
-0.338,5.303,6.756,24
-0.167,4.743,6.934,15
-0.8,5.103,6.539,24
-0.531,4.91,9.596,15
-0.229,5.153,9.467,24
-0.038,5.172,6.668,15
-0.736,5.265,5.561,24
-0.559,4.953,7.658,16
-0.226,5.007,9.243,23
0.125,5.688,11.005,16
-0.152,5.581,7.537,23
-1.235,4.998,6.673,16
-1.162,4.888,7.787,23
-0.738,5.086,8.308,24
-0.138,5.431,8.841,15
-0.286,5.565,8.353,24
-0.895,5.207,7.499,15
-1.024,5.636,6.875,24
-1.131,5.465,6.387,15
-0.859,5.265,7.063,24
-0.612,5.581,6.73,15
-0.707,5.334,7.299,24
-0.793,5.748,5.568,15
-0.714,5.169,7.299,24
-0.657,5.879,6.304,15
-0.424,5.886,7.687,24
-0.578,4.912,6.932,16
-0.636,5.957,6.901,23
-0.762,5.007,7.599,16
-0.659,4.988,8.377,23
-0.502,5.393,7.748,16
-0.609,5.445,6.546,23
-0.486,5.424,7.425,16
-0.64,4.777,7.901,23
-0.931,5.281,8.21,16
-0.64,4.965,8.244,23
-0.24,4.584,7.818,16
-0.64,4.872,5.525,23
-0.55,4.993,7.018,16
-0.893,5.369,7.929,23
-0.45,4.629,9.203,24
-0.474,5.286,8.62,15
-0.302,5.524,7.996,24
-0.093,5.434,8.217,15
-0.683,4.479,8.236,24
-0.74,5.184,6.768,16
-0.581,5.255,7.715,23
-0.219,5.55,7.679,16
-0.286,4.969,7.856,23
-0.921,5.079,8.851,16
-0.578,5.653,8.422,23
-0.638,4.834,6.634,16
-0.4,4.712,7.606,23
-0.814,4.903,7.484,16
-0.631,5.493,8.405,23
-0.636,4.555,7.272,16
-0.138,4.634,9.348,23
-0.407,5.681,6.756,16
-0.324,5.191,7.541,23
-0.531,4.843,8.215,16
-0.764,5.276,6.944,23
-0.378,5.11,7.182,16
0.092,5.588,8.408,23
-0.014,5.105,8.598,16
-0.514,4.96,8.534,24
-0.25,5.398,8.891,15
-0.207,5.534,7.377,24
