x,y,z,time_diff
-0.288,0.037,9.405,20
-0.309,0.03,9.439,19
-0.286,0.033,9.503,20
-0.271,0.073,9.431,19
-0.267,0.109,9.427,20
-0.302,0.075,9.439,19
-0.276,0.023,9.415,20
-0.305,0.059,9.412,23
-0.293,0.071,9.429,20
-0.245,0.073,9.396,20
-0.281,0.073,9.384,19
-0.245,0.068,9.431,20
-0.283,0.054,9.374,19
-0.267,0.056,9.412,20
-0.283,0.056,9.45,19
-0.24,0.078,9.429,24
-0.295,0.059,9.405,19
-0.317,0.049,9.422,20
-0.281,0.061,9.45,19
-0.274,0.052,9.339,20
-0.293,0.061,9.446,19
-0.288,0.087,9.458,20
-0.3,0.102,9.391,19
-0.298,0.059,9.379,20
-0.269,0.03,9.429,23
-0.302,0.052,9.372,20
-0.286,0.083,9.384,19
-0.269,0.063,9.446,20
-0.248,0.035,9.45,19
-0.24,0.035,9.462,20
-0.34,0.04,9.374,19
-0.281,0.078,9.405,20
-0.257,0.123,9.41,20
-0.221,0.102,9.462,23
-0.274,0.033,9.405,20
-0.29,0.044,9.41,19
-0.264,0.044,9.443,20
-0.286,0.111,9.422,19
-0.267,0.016,9.377,20
-0.293,0.018,9.403,19
-0.298,0.052,9.422,20
-0.269,0.073,9.448,23
-0.305,0.054,9.389,20
-0.276,0.023,9.396,19
-0.267,0.061,9.412,20
-0.298,0.083,9.424,19
-0.269,0.061,9.372,20
-0.286,0.073,9.453,19
-0.302,0.063,9.377,20
-0.257,0.018,9.427,19
-0.257,0.052,9.408,24
-0.274,0.049,9.408,19
-0.286,0.078,9.424,20
-0.3,0.104,9.398,19
-0.29,0.037,9.422,20
-0.276,0.066,9.42,19
-0.293,0.092,9.439,20
-0.29,0.035,9.462,20
-0.312,0.013,9.384,19
-0.238,0.075,9.422,24
-0.319,0.09,9.403,19
-0.293,0.106,9.448,20
-0.317,0.04,9.422,19
-0.274,0.075,9.367,20
-0.243,0.021,9.403,19
-0.255,0.023,9.42,20
-0.255,0.094,9.372,19
-0.257,0.021,9.353,24
-0.307,0.087,9.42,19
-0.307,0.047,9.436,20
-0.257,0.068,9.396,19
-0.209,0.068,9.424,20
-0.262,0.066,9.484,19
-0.298,0.033,9.448,20
-0.293,0.033,9.462,19
-0.255,0.033,9.455,24
-0.248,0.056,9.396,19
-0.236,0.071,9.484,20
-0.293,0.009,9.46,19
-0.276,0.068,9.367,20
-0.238,0.08,9.377,19
-0.276,0.068,9.434,20
-0.262,0.068,9.417,20
-0.269,0.033,9.458,19
-0.324,0.049,9.377,24
-0.288,0.044,9.472,19
-0.25,0.073,9.441,20
-0.255,0.073,9.424,19
-0.293,0.016,9.429,20
-0.252,0.056,9.405,19
-0.271,0.063,9.446,20
-0.245,0.083,9.412,19
-0.276,0.052,9.412,20
-0.29,0.061,9.408,23
-0.278,0.071,9.441,20
-0.236,0.044,9.427,19
-0.305,0.004,9.393,20
-0.338,0.068,9.417,19
-0.219,0.09,9.32,20
-0.295,0.021,9.455,19
-0.286,0.035,9.396,20
-0.302,0.066,9.393,19
-0.221,0.123,9.403,24
-0.202,-0.019,9.389,19
-0.267,-0.062,9.474,20
-0.321,0.087,9.446,19
-0.252,0.19,9.305,20
-0.288,0.042,9.555,20
-0.293,-0.052,9.436,19
-0.357,-0.038,9.474,20
-0.307,0.132,9.393,23
-0.25,0.128,9.412,20
-0.231,0.044,9.41,19
-0.352,-0.012,9.348,20
-0.314,0.054,9.362,19
-0.286,0.161,9.37,20
-0.226,0.097,9.341,19
-0.298,0.009,9.441,20
-0.333,-0.005,9.391,19
-0.298,0.087,9.377,24
-0.233,0.113,9.348,19
-0.259,0.013,9.465,20
-0.307,0.021,9.439,19
-0.3,0.068,9.45,20
-0.276,0.087,9.389,19
-0.236,0.059,9.358,20
-0.231,0.033,9.441,19
-0.317,0.002,9.4,20
-0.283,0.066,9.403,20
-0.238,0.061,9.379,23
-0.219,0.037,9.417,19
-0.283,-0.012,9.36,20
-0.281,0.049,9.417,20
-0.328,0.109,9.4,19
-0.238,0.092,9.443,20
-0.243,0.073,9.446,19
-0.288,0.009,9.436,24
-0.326,0.073,9.434,19
-0.264,0.113,9.434,20
-0.238,0.066,9.519,19
-0.252,0.023,9.45,20
-0.333,0.066,9.396,19
-0.3,0.049,9.377,20
-0.24,0.049,9.412,19
-0.245,0.056,9.393,20
-0.271,0.03,9.453,23
-0.286,0.075,9.405,20
-0.276,0.052,9.422,19
-0.226,0.097,9.441,20
-0.259,0.011,9.453,19
-0.309,0.075,9.389,20
-0.281,0.049,9.474,19
-0.274,0.042,9.431,20
-0.262,0.04,9.396,20
-0.264,0.035,9.37,23
-0.3,0.068,9.396,19
-0.283,0.085,9.415,20
-0.281,0.049,9.446,20
-0.243,0.047,9.384,19
-0.264,0.044,9.453,20
-0.276,0.025,9.339,19
-0.255,0.052,9.455,20
-0.307,0.04,9.408,23
-0.29,0.037,9.431,20
-0.298,0.059,9.431,19
-0.274,0.061,9.396,20
-0.269,0.073,9.4,19
-0.245,0.099,9.434,20
-0.271,0.025,9.436,19
-0.305,0.063,9.408,20
-0.264,0.059,9.396,19
-0.29,0.044,9.455,24
-0.262,0.078,9.379,19
-0.281,0.042,9.436,20
-0.283,0.087,9.415,19
-0.271,-0.002,9.427,20
-0.257,0.071,9.417,19
-0.276,0.037,9.439,20
-0.336,0.075,8.777,20
1.111,-0.623,10.15,19
0.444,-0.431,11.864,23
-0.179,0.006,9.46,20
-0.229,0.078,9.47,20
-0.319,0.04,9.398,19
-0.267,0.09,9.258,20
-0.288,-0.012,9.422,19
-0.229,0.025,9.691,20
-0.288,0.035,9.472,19
-0.343,0.073,9.115,24
-0.236,0.054,9.498,19
-0.255,0.028,9.553,20
-0.293,0.066,9.222,19
-0.271,0.075,9.381,20
-0.248,0.059,9.515,19
-0.293,0.063,9.384,20
-0.321,0.054,9.348,19
-0.257,0.056,9.458,20
-0.274,0.025,9.393,23
-0.271,0.068,9.443,20
-0.295,0.087,9.398,19
-0.328,0.054,9.453,20
-0.281,0.078,9.434,19
-0.29,0.021,9.42,20
-0.269,0.021,9.355,20
-0.238,0.009,9.65,19
-0.352,0.068,8.865,20
-0.281,0.09,9.474,23
-0.288,0.075,9.434,20
-0.305,0.078,9.436,19
-0.314,0.083,9.381,20
-0.307,0.035,9.453,19
-0.293,0.085,9.308,20
-0.257,0.006,9.679,19
-4.913,-2.452,9.748,20
0.33,0.968,9.415,19
2.258,0.456,9.612,24
0.639,-0.34,9.289,19
-0.419,-0.438,9.546,20
-1.316,-0.954,9.874,19
-1.616,0.061,9.684,20
-0.038,0.347,8.851,19
0.958,-0.214,9.26,20
-0.438,-0.314,9.222,19
-1.654,-0.659,9.508,24
-0.533,0.106,9.303,15
-0.159,0.087,8.853,24
-0.071,0.244,9.503,19
-0.709,-0.009,9.198,20
-0.612,0.154,9.865,20
-1.171,-0.778,9.384,19
0.411,-0.714,10.176,20
0.744,-0.143,9.241,19
-0.65,-0.978,9.224,24
-1.626,-0.826,9.453,19
-0.224,-0.969,9.722,20
0.235,-0.662,8.843,19
-0.131,-0.381,10.219,20
1.394,0.147,10.719,19
-1.093,-0.402,9.3,20
-1.571,-0.812,9.758,19
-0.628,-0.143,9.986,20
0.911,0.14,9.76,23
-0.126,-0.202,8.872,20
-4.037,-0.478,9.543,19
-5.846,-1.204,9.562,20
-3.504,-1.092,8.746,19
2.601,-0.347,8.436,20
7.799,-0.028,10.105,19
6.321,-0.016,9.727,20
3.036,-0.021,9.591,19
-0.593,0.368,9.491,24
-0.1,0.123,9.362,19
0.004,-0.147,9.434,20
-0.236,-0.047,9.372,20
-0.374,-0.076,9.389,19
-0.393,0,9.662,20
-0.205,-0.066,10.053,19
-0.293,-0.357,9.134,20
-0.286,-0.109,9.862,23
-0.359,0.028,9.196,20
-0.421,-0.059,9.408,19
-0.331,-0.09,9.66,20
-0.269,-0.124,9.403,19
-0.295,-0.031,9.339,20
-0.369,-0.012,9.512,23
-0.343,-0.085,9.384,16
-0.29,-0.145,9.391,19
-0.252,-0.131,9.474,24
-0.319,-0.05,9.417,19
-0.35,-0.085,9.436,20
-0.326,-0.1,9.427,19
-0.317,-0.107,9.405,20
-0.326,-0.078,9.408,19
-0.369,-0.009,9.377,20
-0.369,-0.047,9.436,19
-0.307,-0.152,9.448,20
-0.283,-0.107,9.548,23
-0.298,-0.071,9.403,20
-0.39,-0.036,9.389,20
-0.438,-0.055,9.4,19
-0.348,-0.088,9.36,20
-0.238,-0.071,9.405,19
-0.207,-0.021,9.42,20
-0.117,0.025,9.817,19
-0.464,-0.09,9.062,24
-0.688,-0.309,9.681,19
-0.217,0.047,9.155,20
0.051,0.052,9.7,19
-0.278,-0.102,9.462,20
-0.712,-0.2,9.265,19
-0.54,-0.226,9.372,20
-0.033,0.054,9.462,19
-0.021,0.144,9.477,20
-0.452,-0.15,9.327,23
-0.674,-0.335,9.367,20
-0.305,-0.043,9.415,19
0.02,0.102,9.472,20
-0.169,-0.081,9.439,19
-0.571,-0.202,9.405,20
-0.526,-0.047,9.265,19
-0.088,-0.062,9.389,20
-0.057,0,9.589,23
-0.476,-0.138,9.312,20
-0.505,-0.036,9.339,20
-0.231,-0.038,9.472,19
-0.217,-0.069,9.467,20
-0.402,-0.174,9.355,19
-0.362,-0.057,9.308,20
-0.321,-0.052,9.422,19
-0.295,-0.019,9.405,20
-0.345,-0.14,9.341,23
-0.367,-0.152,9.448,20
-0.317,0,9.429,19
-0.3,0.035,9.331,20
-0.259,-0.166,9.458,19
-0.321,-0.219,9.455,20
-0.395,-0.028,9.327,19
-0.298,-0.047,9.36,20
-0.271,-0.105,9.439,19
-0.328,-0.114,9.405,24
-0.383,-0.164,9.374,19
-0.314,-0.074,9.472,20
-0.307,0.04,9.441,19
-0.283,-0.114,9.365,20
-0.252,-0.185,9.448,19
-0.395,-0.112,9.491,20
-0.493,0.037,9.405,20
-0.286,0.002,9.398,19
-0.143,-0.152,9.555,24
-0.274,-0.185,9.441,19
-0.438,-0.093,9.391,20
-0.393,-0.002,9.377,19
-0.257,-0.033,9.374,20
-0.226,-0.19,9.467,19
-0.302,-0.128,9.424,20
-0.424,0,9.424,19
-0.352,0.047,9.41,20
-0.245,-0.107,9.439,23
-0.283,-0.185,9.412,20
-0.405,-0.107,9.42,19
-0.431,0,9.403,20
-0.298,-0.04,9.47,19
-0.25,-0.133,9.398,20
-0.326,-0.183,9.45,19
-0.348,-0.057,9.384,20
-0.319,0.03,9.362,19
-0.271,-0.354,9.386,24
-0.276,-0.145,9.472,19
-0.364,-0.093,9.339,20
-0.362,-0.031,9.377,19
-0.309,-0.043,9.405,20
-0.264,-0.081,9.46,20
-0.3,-0.133,9.429,19
-0.386,-0.074,9.412,20
-0.362,-0.033,9.377,23
-0.336,-0.076,9.453,20
-0.255,-0.057,9.389,19
-0.29,-0.085,9.403,20
-0.309,-0.126,9.429,19
-0.307,-0.064,9.403,20
-0.317,-0.04,9.42,19
-0.312,-0.052,9.415,20
-0.245,-0.064,9.429,19
-0.338,-0.109,9.417,24
-0.362,-0.09,9.417,19
-0.35,-0.064,9.427,20
-0.29,-0.083,9.427,19
-0.319,-0.124,9.422,20
-0.286,-0.124,9.408,19
-0.321,-0.055,9.424,20
-0.278,-0.064,9.334,19
-0.359,-0.078,9.455,20
-0.359,-0.164,9.384,23
-0.295,-0.131,9.429,20
-0.29,-0.059,9.417,19
-0.317,-0.024,9.412,20
-0.357,-0.102,9.37,20
-0.345,-0.114,9.398,19
-0.293,-0.088,9.389,20
-0.302,-0.05,9.448,19
-0.309,-0.062,9.398,20
-0.321,-0.102,9.396,23
-0.333,-0.126,9.41,20
-0.3,-0.045,9.374,19
-0.295,-0.04,9.45,20
-0.348,-0.059,9.42,19
-0.35,-0.109,9.405,20
-0.262,-0.085,9.384,19
-0.319,-0.083,9.393,20
-0.371,-0.028,9.367,23
-0.331,-0.093,9.439,20
-0.312,-0.143,9.415,19
-0.271,-0.078,9.51,20
-0.34,-0.045,9.441,19
-0.345,-0.038,9.398,20
-0.314,-0.107,9.467,19
-0.298,-0.119,9.431,20
-0.328,-0.055,9.465,20
-0.357,-0.016,9.396,23
-0.383,-0.081,9.322,19
-0.336,-0.155,9.408,20
-0.276,-0.083,9.443,20
-0.309,-0.016,9.393,19
-0.343,-0.045,9.386,20
-0.333,-0.116,9.377,19
-0.3,-0.09,9.4,20
-0.298,-0.069,9.372,23
-0.283,-0.045,9.398,20
-0.364,-0.059,9.4,19
-0.319,-0.074,9.379,20
-0.293,-0.088,9.422,19
-0.319,-0.057,9.343,20
-0.338,-0.026,9.286,19
-0.319,-0.047,9.398,20
-0.288,-0.112,9.42,19
-0.286,-0.057,9.467,24
-0.34,-0.052,9.41,19
-0.357,-0.024,9.429,20
-0.359,-0.069,9.441,19
-0.259,-0.121,9.434,20
-0.269,-0.088,9.429,19
-0.333,-0.078,9.358,20
-0.319,-0.045,9.424,20
-0.276,-0.078,9.429,19
-0.305,-0.083,9.353,23
-0.326,-0.062,9.453,20
-0.359,-0.028,9.424,20
-0.321,-0.078,9.427,19
-0.321,-0.09,9.441,20
-0.276,-0.095,9.377,19
-0.336,-0.074,9.427,20
-0.321,-0.052,9.422,19
-0.328,-0.093,9.4,20
-0.293,-0.093,9.381,23
-0.312,-0.09,9.41,20
-0.364,-0.066,9.417,19
-0.343,-0.059,9.434,20
-0.269,-0.081,9.391,19
-0.333,-0.081,9.441,20
-0.336,-0.09,9.384,19
-0.328,-0.076,9.431,20
-0.314,-0.057,9.41,19
-0.286,-0.081,9.417,24
-0.312,-0.078,9.389,19
-0.317,-0.14,9.105,20
-0.312,-0.081,9.403,19
-0.443,0.013,9.239,20
-0.395,-0.026,9.386,20
-0.238,-0.064,9.605,23
-0.257,-0.14,9.389,16
-0.348,-0.193,9.329,23
-0.467,-0.1,9.55,20
-0.321,0.044,9.381,19
-0.305,-0.126,9.458,20
-0.29,-0.188,9.505,19
-0.364,-0.062,9.431,20
-0.405,-0.005,9.491,19
-0.29,-0.109,9.458,20
-0.245,-0.131,9.434,19
-0.262,-0.124,9.381,24
-0.326,-0.043,9.424,19
-0.352,0,9.429,20
-0.295,-0.105,9.236,19
-0.302,-0.169,9.448,20
-0.336,-0.15,9.403,19
-0.364,-0.026,9.448,20
-0.295,-0.009,9.346,23
-0.267,-0.057,9.443,16
-0.317,-0.128,9.439,19
-0.362,-0.152,9.417,24
-0.338,-0.097,9.46,19
-0.314,-0.014,9.381,20
-0.298,-0.062,9.389,20
-0.309,-0.109,9.443,19
-0.348,-0.09,9.37,20
-0.357,-0.047,9.372,19
-0.305,-0.052,9.41,20
-0.269,-0.088,9.465,23
-0.305,-0.152,9.448,20
-0.376,-0.09,9.362,19
-0.357,-0.031,9.4,20
-0.35,-0.057,9.415,19
-0.3,-0.119,9.446,20
-0.3,-0.121,9.45,19
-0.336,-0.014,9.4,20
-0.324,-0.038,9.415,19
-0.336,-0.052,9.467,24
-0.374,-0.097,9.377,19
-0.302,-0.138,9.417,20
-0.269,-0.121,9.505,19
-0.29,-0.043,9.36,20
-0.328,-0.052,9.42,19
-0.374,-0.078,9.415,20
-0.383,-0.074,9.4,19
-0.293,-0.185,9.403,20
-0.257,-0.026,9.493,23
-0.352,-0.028,9.348,20
-0.374,-0.062,9.443,20
-0.369,-0.09,9.384,19
-0.278,-0.135,9.391,20
-0.264,-0.085,9.448,19
-0.326,0.009,9.4,20
-0.369,-0.052,9.377,19
-0.295,-0.164,9.448,24
-0.245,-0.105,9.434,19
-0.309,-0.033,9.396,20
-0.355,-0.031,9.446,19
-0.35,-0.066,9.412,20
-0.255,-0.119,9.36,19
-0.245,-0.135,9.431,20
-0.317,-0.066,9.446,19
-0.369,-0.045,9.348,24
-0.336,-0.14,9.396,19
-0.286,-0.143,9.465,20
-0.309,-0.095,9.408,19
-0.374,-0.057,9.398,20
-0.371,-0.083,9.4,19
-0.307,-0.081,9.358,20
-0.281,-0.162,9.41,19
-0.314,-0.052,9.396,20
-0.336,-0.019,9.384,20
-0.321,-0.045,9.431,23
-0.281,-0.114,9.47,20
-0.338,-0.081,9.37,19
-0.367,-0.097,9.441,20
-0.309,-0.064,9.422,19
-0.319,-0.059,9.398,20
-0.293,-0.116,9.405,19
-0.326,-0.1,9.434,20
-0.364,-0.019,9.377,19
-0.314,-0.083,9.405,24
-0.295,-0.093,9.472,19
-0.338,-0.095,9.47,20
-0.343,-0.107,9.384,19
-0.328,-0.074,9.4,20
-0.319,-0.078,9.434,19
-0.293,-0.126,9.384,20
-0.293,-0.09,9.367,19
-0.352,-0.105,9.41,24
-0.355,-0.052,9.317,19
-0.364,-0.064,9.491,20
-0.348,-0.071,9.45,19
-0.238,-0.126,9.55,20
-0.243,-0.064,9.362,19
-0.364,-0.028,9.41,20
-0.386,-0.066,9.436,20
-0.345,-0.076,9.46,19
-0.217,-0.083,9.4,24
-0.298,-0.14,9.417,19
-0.331,-0.055,9.179,20
-0.402,-0.074,9.436,19
-0.257,-0.066,9.31,20
-0.271,-0.114,9.591,19
-0.338,-0.107,9.374,20
-0.545,-0.145,10.326,19
-0.414,-0.043,9.067,20
-0.19,-0.024,9.524,23
-0.129,-0.114,9.298,20
-0.321,-0.109,9.603,19
-0.507,-0.012,9.279,20
-0.355,-0.088,9.289,19
-0.169,-0.109,9.21,20
-0.226,-0.076,9.415,19
-0.419,-0.116,9.429,20
-0.431,-0.09,9.429,19
-0.295,-0.002,9.317,24
-0.198,-0.081,9.381,19
-0.29,-0.14,9.398,20
-0.488,-0.097,9.45,19
-0.378,-0.009,9.322,20
-0.198,-0.062,9.441,20
-0.207,-0.116,9.422,19
-0.467,-0.076,9.439,20
-0.462,-0.083,9.365,19
-0.269,-0.062,9.408,20
-0.167,-0.059,9.42,23
-0.352,-0.152,9.436,20
-0.5,-0.1,9.358,19
-0.374,0.025,9.472,20
-0.202,-0.038,9.41,19
-0.248,-0.15,9.524,20
-0.371,-0.135,9.381,19
-0.452,-0.047,9.377,24
-0.288,0.004,9.389,19
-0.174,-0.05,9.493,20
-0.286,-0.193,9.362,19
-0.414,-0.162,9.484,20
-0.393,0.009,9.22,19
-0.245,0.004,9.543,20
-0.309,-0.147,9.367,19
-0.393,-0.212,9.393,20
-0.44,-0.155,9.517,23
-0.3,0.011,9.37,16
-0.255,-0.014,9.503,23
-0.331,-0.14,9.396,20
-0.374,-0.2,9.396,20
-0.348,-0.021,9.415,19
-0.271,0.052,9.327,20
-0.3,-0.121,9.386,19
-0.328,-0.231,9.529,20
-0.383,-0.107,9.141,23
-0.305,0.025,9.424,20
-0.252,0.021,9.405,19
-0.286,-0.112,9.389,20
-0.502,0.421,9.315,19
-2.626,0.225,10.215,20
-0.155,-0.114,10.041,19
0.27,-0.245,7.853,20
-0.552,-0.452,9.803,23
-0.621,-0.559,10.31,20
-0.562,-0.385,8.832,19
-0.745,-0.378,9.143,20
-0.826,-0.312,9.965,19
-0.75,-0.559,9.22,20
-0.869,-0.352,9.234,19
-0.519,-0.359,9.75,20
-0.362,0.002,9.815,20
-0.288,-0.419,8.803,19
-0.512,-0.4,9.5,23
-0.862,-0.131,9.731,20
-0.966,-0.4,9.079,20
-0.447,-0.309,9.639,19
-0.374,-0.297,10.096,20
-0.595,-0.376,9.212,19
-1.033,-0.328,9.603,20
-0.547,-0.643,9.715,19
-0.3,-0.554,9.786,20
-0.509,-0.621,9.386,23
-0.09,-0.664,8.77,20
-0.038,-0.671,9.303,19
-0.24,-0.731,9.35,20
0.332,-0.295,9.5,19
-0.293,-0.124,9.298,20
-0.676,-0.352,9.453,19
0.77,-0.102,9.274,20
0.38,-0.364,9.241,23
-0.093,-0.226,9.612,20
-1.185,-0.219,9.167,19
-1.121,-0.071,10.353,20
-1.49,-0.75,8.801,19
-0.44,-0.426,8.62,20
-0.3,-0.345,9.01,20
0.956,-0.3,9.174,19
0.789,-0.274,9.315,20
1.301,-0.052,9.519,23
0.539,-0.262,9.484,20
0.939,-0.164,9.519,19
1.025,0.213,9.32,20
-0.39,0.147,9.42,19
-0.412,0.132,9.441,20
-0.336,-0.126,9.331,19
0.304,-0.062,9.47,20
-0.54,-0.133,9.315,19
-0.238,-0.069,9.453,24
-0.459,-0.285,9.481,19
-0.198,-0.302,9.32,20
-0.219,-0.219,9.541,19
-0.221,0.218,9.277,20
-0.183,0.39,9.631,19
-0.314,0.225,9.472,20
-0.462,0.047,9.42,19
-0.44,-0.05,9.365,20
-0.428,-0.05,9.403,23
-0.371,-0.064,9.719,20
-0.493,0,9.093,19
-0.49,-0.088,9.196,20
-0.424,-0.043,9.42,20
-0.39,0.002,9.553,19
-0.45,-0.083,9.45,20
-0.417,-0.069,9.362,19
-0.395,-0.043,9.362,20
-0.445,-0.031,9.384,23
-0.462,-0.016,9.455,20
-0.431,-0.078,9.355,19
-0.459,-0.085,9.45,20
-0.421,-0.045,9.398,19
-0.419,-0.007,9.389,20
-0.443,-0.021,9.424,19
-0.459,-0.055,9.362,20
-0.428,-0.052,9.405,19
-0.381,-0.014,9.465,20
-0.376,-0.045,9.229,23
-0.426,-0.057,9.489,20
-0.683,-0.066,9.434,19
-0.512,-0.093,9.296,20
-0.305,-0.055,9.327,19
-0.295,-0.095,9.543,20
-0.459,-0.012,9.569,19
-0.609,0.018,9.493,20
-0.512,-0.083,9.134,23
-0.231,-0.076,9.436,20
-0.262,-0.045,9.565,20
-0.533,0.033,9.693,19
-0.586,-0.031,9.227,20
-0.471,-0.145,9.158,19
-0.345,-0.119,9.453,20
-0.393,-0.014,9.629,23
-0.509,0.03,9.486,20
-0.595,-0.093,9.117,19
-0.359,-0.128,9.22,20
-0.305,-0.059,9.615,19
-0.467,0.009,9.684,20
-0.555,-0.014,9.367,19
-0.438,-0.078,9.077,20
-0.352,-0.133,9.436,19
-0.4,0.002,9.615,20
-0.488,0.013,9.589,23
-0.531,-0.066,9.222,20
-0.445,-0.109,9.217,19
-0.357,-0.09,9.467,20
-0.402,-0.002,9.6,19
-0.505,-0.007,9.377,20
-0.476,-0.083,9.201,19
-0.417,-0.083,9.362,20
-0.364,-0.04,9.543,20
-0.464,0.006,9.5,23
-0.49,-0.047,9.267,20
-0.462,-0.116,9.229,19
-0.386,-0.071,9.422,20
-0.417,-0.031,9.555,19
-0.488,-0.043,9.379,20
-0.457,-0.078,9.303,19
-0.431,-0.109,9.358,20
-0.398,-0.052,9.472,19
-0.443,0.011,9.524,24
-0.5,-0.033,9.355,19
-0.44,-0.102,9.315,20
-0.445,-0.062,9.479,19
-0.386,0.009,9.536,20
-0.486,-0.019,9.424,19
-0.486,-0.047,9.343,20
-0.409,-0.069,9.358,19
-0.414,-0.083,9.441,20
-0.452,-0.016,9.474,23
-0.488,-0.047,9.334,20
-0.45,-0.081,9.329,19
-0.452,-0.055,9.41,20
-0.433,-0.038,9.486,19
-0.488,-0.043,9.367,20
-0.493,-0.071,9.365,20
-0.405,-0.064,9.405,19
-0.39,-0.04,9.434,20
-0.436,-0.036,9.422,23
-0.445,-0.059,9.327,20
-0.443,-0.043,9.42,19
-0.428,-0.081,9.393,20
-0.45,-0.002,9.491,19
-0.402,-0.036,9.431,20
-0.459,-0.055,9.427,23
-0.433,-0.076,9.398,16
-0.433,-0.045,9.431,19
-0.445,-0.047,9.389,24
-0.493,-0.009,9.41,19
-0.438,-0.074,9.317,20
-0.424,-0.078,9.453,19
-0.426,-0.026,9.443,20
-0.421,-0.052,9.436,19
-0.447,-0.064,9.412,20
-0.474,-0.057,9.389,19
-0.405,-0.074,9.453,24
-0.424,-0.033,9.381,19
-0.45,-0.026,9.36,20
-0.44,-0.038,9.374,19
