,ax,ay,az,gx,gy,gz,time_diff,timestamp_x,gz_raw,theta,faceBottom,faceLeft,faceRight,faceTop,isFrontFace,noseX,noseY,time,timestamp_y
82,-13062.0,2000.0,7554.0,-17.0,2.0,12.7707317073,0.109730958939,1449015474.19,224.0,6.95721623316,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
83,-12998.0,2338.0,7474.0,-19.0,6.0,14.4780487805,0.105051040649,1449015474.3,194.0,8.3884726065,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
84,-12882.0,2732.0,7488.0,-15.0,8.0,14.4780487805,0.109115839005,1449015474.41,222.0,9.96825704633,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
85,-12820.0,3794.0,7508.0,-15.0,5.0,14.4780487805,0.103475093842,1449015474.51,285.0,11.4663745025,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
86,-12814.0,3824.0,7526.0,-23.0,14.0,3.80731707317,0.105020046234,1449015474.61,47.0,12.4265394862,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
87,-12816.0,3414.0,7566.0,-30.0,12.0,2.77073170732,0.107266902924,1449015474.72,-12.0,12.7793429462,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
88,-12754.0,3372.0,7566.0,-24.0,13.0,2.77073170732,0.107861042023,1449015474.83,30.0,13.0781969553,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
89,-12706.0,3250.0,7552.0,-21.0,16.0,7.52682926829,0.108202934265,1449015474.94,108.0,13.635310112,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
90,-12592.0,3850.0,7574.0,-19.0,12.0,7.52682926829,0.107218027115,1449015475.05,136.0,14.4423218966,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
91,-12486.0,4224.0,7572.0,-22.0,9.0,4.90487804878,0.103157997131,1449015475.15,65.0,15.0835369104,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
92,-12626.0,4008.0,7590.0,-26.0,18.0,0.0268292682927,0.11004114151,1449015475.26,-15.0,15.3548822618,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
93,-12530.0,4086.0,7560.0,-30.0,13.0,-0.521951219512,0.106563806534,1449015475.36,-24.0,15.3285012219,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
94,-12076.0,4538.0,7854.0,-37.0,5.0,-0.521951219512,0.10443520546,1449015475.47,-132.0,15.2739911391,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
95,-12610.0,3738.0,7594.0,-28.0,12.0,-0.156097560976,0.104497909546,1449015475.57,-13.0,15.238563799,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
96,-12662.0,3746.0,7596.0,-28.0,14.0,-0.156097560976,0.103854894638,1449015475.68,-18.0,15.2223523032,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
97,-12644.0,3844.0,7534.0,-31.0,19.0,-3.32682926829,0.104001045227,1449015475.78,-70.0,15.0412382879,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
98,-12760.0,4158.0,7610.0,-41.0,17.0,-10.4609756098,0.101598024368,1449015475.88,-187.0,14.3408314199,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
99,-12874.0,3560.0,7566.0,-49.0,26.0,-21.1317073171,0.106523990631,1449015475.99,-362.0,12.6581420898,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
100,-13056.0,2180.0,7454.0,-47.0,30.0,-21.1317073171,0.102425098419,1449015476.09,-380.0,10.4937248881,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
101,-13070.0,2220.0,7506.0,-44.0,25.0,-22.2292682927,0.101034879684,1449015476.19,-335.0,8.30323941126,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
102,-12894.0,1602.0,7898.0,-49.0,19.0,-28.143902439,0.101174116135,1449015476.29,-477.0,5.75500889842,-1,-1,-1,-1,0,235.305358887,119.263694763,1449015464.6,1449015464.62
